lat	lon	title	description	icon	iconSize	iconOffset
52.21869090	6.97404940	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/45756882">45756882</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.9740484&right=6.9740504&top=52.2186919&bottom=52.2186899&select=node45756882">JOSM</a>) NL     is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
50.94068960	6.68242170	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/59642249">59642249</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.6824207&right=6.6824227&top=50.9406906&bottom=50.9406886&select=node59642249">JOSM</a>)     51 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
50.76791030	7.45196400	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/60151794">60151794</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.4519630&right=7.4519650&top=50.7679113&bottom=50.7679093&select=node60151794">JOSM</a>)     7 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
50.90581780	6.93803660	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/251056118">251056118</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.9380356&right=6.9380376&top=50.9058188&bottom=50.9058168&select=node251056118">JOSM</a>)     39 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.34272000	6.54344360	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/259705150">259705150</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.5434426&right=6.5434446&top=51.3427210&bottom=51.3427190&select=node259705150">JOSM</a>)     1 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
52.02456870	8.83076140	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/262514105">262514105</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=8.8307604&right=8.8307624&top=52.0245697&bottom=52.0245677&select=node262514105">JOSM</a>)     153 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
50.99436660	6.93171790	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/264071964">264071964</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.9317169&right=6.9317189&top=50.9943676&bottom=50.9943656&select=node264071964">JOSM</a>)     9 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
50.93416090	6.78120130	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/265141867">265141867</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.7812003&right=6.7812023&top=50.9341619&bottom=50.9341599&select=node265141867">JOSM</a>)     1 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
50.93425310	6.78167360	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/265141870">265141870</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.7816726&right=6.7816746&top=50.9342541&bottom=50.9342521&select=node265141870">JOSM</a>)     7 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
50.91072740	6.94352840	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/265728157">265728157</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.9435274&right=6.9435294&top=50.9107284&bottom=50.9107264&select=node265728157">JOSM</a>)     14 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
50.90855090	6.94476780	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/267842148">267842148</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.9447668&right=6.9447688&top=50.9085519&bottom=50.9085499&select=node267842148">JOSM</a>)     3 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.22426410	7.05859340	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/268751127">268751127</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.0585924&right=7.0585944&top=51.2242651&bottom=51.2242631&select=node268751127">JOSM</a>)     21 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.23856730	7.15129720	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/269928270">269928270</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.1512962&right=7.1512982&top=51.2385683&bottom=51.2385663&select=node269928270">JOSM</a>)     16 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.23911820	7.15157980	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/269928272">269928272</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.1515788&right=7.1515808&top=51.2391192&bottom=51.2391172&select=node269928272">JOSM</a>)     13 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.23914010	7.15176190	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/269928273">269928273</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.1517609&right=7.1517629&top=51.2391411&bottom=51.2391391&select=node269928273">JOSM</a>)     9; 11 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.23918240	7.15289220	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/269928278">269928278</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.1528912&right=7.1528932&top=51.2391834&bottom=51.2391814&select=node269928278">JOSM</a>)     1; 3 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
50.97035950	7.04707710	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/274119034">274119034</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.0470761&right=7.0470781&top=50.9703605&bottom=50.9703585&select=node274119034">JOSM</a>)     591 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.20360400	6.77294570	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/274259330">274259330</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.7729447&right=6.7729467&top=51.2036050&bottom=51.2036030&select=node274259330">JOSM</a>)     70A is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.29277270	6.89465460	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/279213581">279213581</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.8946536&right=6.8946556&top=51.2927737&bottom=51.2927717&select=node279213581">JOSM</a>)     5 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.56413900	8.72708720	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/279404635">279404635</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=8.7270862&right=8.7270882&top=51.5641400&bottom=51.5641380&select=node279404635">JOSM</a>)     11 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
50.98695860	7.41693990	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/279670940">279670940</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=7.4169389&right=7.4169409&top=50.9869596&bottom=50.9869576&select=node279670940">JOSM</a>)     14 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.21070890	6.76861780	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/282573438">282573438</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=6.7686168&right=6.7686188&top=51.2107099&bottom=51.2107079&select=node282573438">JOSM</a>)     59 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
50.88541530	8.15517270	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/283533454">283533454</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=8.1551717&right=8.1551737&top=50.8854163&bottom=50.8854143&select=node283533454">JOSM</a>)     14 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.95507140	9.24497010	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/285744529">285744529</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=9.2449691&right=9.2449711&top=51.9550724&bottom=51.9550704&select=node285744529">JOSM</a>)     49 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.95517340	9.24543480	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/285941294">285941294</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=9.2454338&right=9.2454358&top=51.9551744&bottom=51.9551724&select=node285941294">JOSM</a>)     69 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.95571530	9.24555490	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/285941296">285941296</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=9.2455539&right=9.2455559&top=51.9557163&bottom=51.9557143&select=node285941296">JOSM</a>)     61 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.95614280	9.24565460	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/285941748">285941748</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=9.2456536&right=9.2456556&top=51.9561438&bottom=51.9561418&select=node285941748">JOSM</a>)     51 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.95636700	9.24565010	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/285941844">285941844</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=9.2456491&right=9.2456511&top=51.9563680&bottom=51.9563660&select=node285941844">JOSM</a>)     47 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.95682430	9.24572980	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/285942297">285942297</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=9.2457288&right=9.2457308&top=51.9568253&bottom=51.9568233&select=node285942297">JOSM</a>)     39 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.95692240	9.24574750	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/285942973">285942973</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=9.2457465&right=9.2457485&top=51.9569234&bottom=51.9569214&select=node285942973">JOSM</a>)     37 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.95765340	9.24595580	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/285943008">285943008</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=9.2459548&right=9.2459568&top=51.9576544&bottom=51.9576524&select=node285943008">JOSM</a>)     25 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.95747380	9.24591520	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/285943018">285943018</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=9.2459142&right=9.2459162&top=51.9574748&bottom=51.9574728&select=node285943018">JOSM</a>)     27 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.95732010	9.24586330	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/285943063">285943063</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=9.2458623&right=9.2458643&top=51.9573211&bottom=51.9573191&select=node285943063">JOSM</a>)     29 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
51.95719240	9.24581080	Incomplete	<a target="_blank" href="http://www.openstreetmap.org/browse/node/285943183">285943183</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=9.2458098&right=9.2458118&top=51.9571934&bottom=51.9571914&select=node285943183">JOSM</a>)     31 is missing 4 pieces of address information	pin_circle.png	16,16	-8,-8
